,county name,yes count 2020,no count 2020,total count 2020,yes perc 2020,no perc 2020,yes count 2018,no count 2018,total count 2018,yes perc 2018,no perc 2018,yes count 2022,no count 2022,total count 2022,yes perc 2022,no perc 2022
48,Sonoma,89364.0,168796.0,258160.0,0.34615742175395103,0.653842578246049,85963,117628,203591,0.4222337922599722,0.5777662077400278,56485.0,135831.0,192316.0,0.29370931175773207,0.7062906882422679
49,Stanislaus,65067.0,143802.0,208869.0,0.3115206181865188,0.6884793818134812,51792,101634,153426,0.33756990340620235,0.6624300965937977,31928.0,95686.0,127614.0,0.250191985205385,0.749808014794615
50,Sutter,10459.0,30549.0,41008.0,0.2550477955520874,0.7449522044479125,8555,20299,28854,0.29649268732238165,0.7035073126776183,6090.0,21137.0,27227.0,0.22367502846439197,0.7763249715356081
51,Tehama,6008.0,22177.0,28185.0,0.21316302998048609,0.7868369700195139,5223,15200,20423,0.2557410762375753,0.7442589237624248,3472.0,16781.0,20253.0,0.17143139288006715,0.8285686071199329
52,Trinity,1532.0,4509.0,6041.0,0.25360039728521766,0.7463996027147823,1685,3503,5188,0.32478797224363914,0.6752120277563608,936.0,3479.0,4415.0,0.21200453001132502,0.787995469988675
53,Tulare,44506.0,99331.0,143837.0,0.30941969034393096,0.690580309656069,28109,69542,97651,0.28785163490389243,0.7121483650961076,22954.0,66604.0,89558.0,0.256303177828893,0.743696822171107
54,Tuolumne,6541.0,23103.0,29644.0,0.2206517339090541,0.7793482660909459,7554,15546,23100,0.32701298701298703,0.672987012987013,4746.0,17874.0,22620.0,0.20981432360742705,0.790185676392573
55,Ventura,140977.0,270965.0,411942.0,0.3422253618227809,0.6577746381772192,114221,187357,301578,0.3787444707505189,0.621255529249481,85257.0,187577.0,272834.0,0.31248671353277085,0.6875132864672292
56,Yolo,33531.0,60559.0,94090.0,0.356371559145499,0.643628440854501,29461,41882,71343,0.41294871255764404,0.5870512874423559,19118.0,46561.0,65679.0,0.29108238554180177,0.7089176144581982
57,Yuba,7688.0,20846.0,28534.0,0.2694329571738978,0.7305670428261022,5967,12845,18812,0.3171911545821816,0.6828088454178184,4491.0,14859.0,19350.0,0.23209302325581396,0.7679069767441861
