COUNTY,YEAR,FAC_COUNT,STATIONS,PROF_NP,CHAIN_OWN,SURVEY_COUNT,SURVEY_RATE,FAC_STAR,XP_STAR,COMM_SCR,QUALITY_SCR,INFO_SCR,PHYS_SCR,STAFF_SCR,FAC_SCR
Placer,2019,54,859,1.0,1.0,1152,,4.0,,85.75,83.75,81.5,88.25,91.0,93.0
Riverside,2019,278,6228,0.9388489208633094,0.8561151079136691,11900,,3.3789473684210525,,78.0421052631579,81.02105263157895,82.09473684210526,82.61052631578947,86.96842105263158,88.05263157894737
Sacramento,2019,223,4688,0.7130044843049327,0.9641255605381166,8976,,3.736842105263158,,81.42105263157895,81.3157894736842,80.78947368421052,83.78947368421052,88.21052631578948,89.42105263157895
San Bernardino,2019,315,6112,0.8793650793650793,0.7555555555555555,12997,,3.5825688073394497,,78.41743119266054,82.02752293577981,81.88990825688073,82.78440366972477,87.75229357798165,89.41743119266054
San Diego,2019,290,5932,0.9517241379310345,0.896551724137931,13960,,3.357142857142857,,83.46428571428571,80.96428571428571,79.89285714285714,85.85714285714286,86.42857142857143,87.57142857142857
San Francisco,2019,110,1978,0.6727272727272727,0.7818181818181819,2528,,3.3333333333333335,,85.66666666666667,79.33333333333333,78.66666666666667,89.16666666666667,86.5,87.5
San Joaquin,2019,136,2344,0.7205882352941176,0.9411764705882353,4112,,3.7,,82.6,81.5,80.3,85.2,88.4,89.7
San Luis Obispo,2019,32,440,1.0,1.0,632,,4.5,,83.0,85.0,87.0,88.0,91.5,92.5
San Mateo,2019,116,2168,0.5344827586206896,1.0,4260,,3.7714285714285714,,85.0,83.88571428571429,82.31428571428572,88.17142857142858,89.48571428571428,90.71428571428571
Santa Barbara,2019,32,714,1.0,0.5,1552,,3.0,,82.33333333333333,81.33333333333333,81.0,85.66666666666667,87.33333333333333,87.33333333333333
Santa Clara,2019,255,5191,0.4666666666666667,0.9529411764705882,7372,,3.5428571428571427,,87.68571428571428,81.8,81.95714285714286,89.51428571428572,87.4,89.65714285714286
Santa Cruz,2019,24,372,0.3333333333333333,1.0,1280,,3.5,,86.0,79.0,82.0,90.0,87.0,88.5
Shasta,2019,16,416,0.5,1.0,736,,3.5,,81.5,80.0,84.0,83.0,85.5,88.5
Solano,2019,101,1731,0.8811881188118812,0.9504950495049505,3408,,4.125,,88.25,82.5,83.375,88.625,89.0,90.75
Sonoma,2019,62,1262,0.5161290322580645,1.0,2072,,4.0,,83.8,83.2,82.2,86.0,90.2,91.6
Stanislaus,2019,126,2142,0.6031746031746031,1.0,3700,,4.114285714285714,,86.2,82.57142857142857,82.97142857142858,89.62857142857143,88.71428571428571,91.74285714285715
